date	javascript	java	php	python	c#	android	c++	ios	html	sql
2014	91887	88349	63288	44314	60753	42391	33484	30741	21312	19307
2015	36259	29377	20139	19138	19695	15233	11024	11720	7925	6213
2016	95403	64192	47191	53585	46891	37256	24548	25319	20429	16726
2017	50345	31870	22916	35448	21643	17624	11352	10248	10563	9613
2018	66349	40410	26000	57920	26467	20113	14411	10707	12193	15691
2019	57595	31534	17899	60051	22613	13345	12826	6649	10440	14499
